,Year,Sport,Event,Country,Gender,Medal Rank,Medal,Name of Athlete or Team,Age of Athlete
81,1928,Speedskating,Men's 500 Meters,United States,Men,3,bronze,John O'Neil Farrell,21.0
82,1928,Speedskating,Men's 500 Meters,Finland,Men,3,bronze,Jaakko Friman,24.0
83,1928,Speedskating,Men's 500 Meters,Norway,Men,3,bronze,Roald Larsen,30.0
84,1928,Speedskating,"Men's 1,500 Meters",Finland,Men,1,gold,Clas Thunberg,34.0
85,1928,Speedskating,"Men's 1,500 Meters",Norway,Men,2,silver,Bernt Evensen,22.0
86,1928,Speedskating,"Men's 1,500 Meters",Norway,Men,3,bronze,Ivar Ballangrud,23.0
87,1928,Speedskating,"Men's 5,000 Meters",Norway,Men,1,gold,Ivar Ballangrud,23.0
88,1928,Speedskating,"Men's 5,000 Meters",Finland,Men,2,silver,Julius Skutnabb,38.0
89,1928,Speedskating,"Men's 5,000 Meters",Norway,Men,3,bronze,Bernt Evensen,22.0
90,1932,Bobsled,Men's Two,United States,Men,1,gold,United States-1,
91,1932,Bobsled,Men's Two,Switzerland,Men,2,silver,Switzerland-2,
92,1932,Bobsled,Men's Two,United States,Men,3,bronze,United States-2,
93,1932,Bobsled,Men's Four,United States,Men,1,gold,United States-1,
94,1932,Bobsled,Men's Four,United States,Men,2,silver,United States-2,
95,1932,Bobsled,Men's Four,Germany,Men,3,bronze,Germany-1,
96,1932,Cross-Country Skiing,Men's 18 Kilometers,Sweden,Men,1,gold,Sven UtterstrÃ¶m,30.0
97,1932,Cross-Country Skiing,Men's 18 Kilometers,Sweden,Men,2,silver,Axel WikstrÃ¶m,24.0
98,1932,Cross-Country Skiing,Men's 18 Kilometers,Finland,Men,3,bronze,Veli Saarinen,29.0
99,1932,Cross-Country Skiing,Men's 50 Kilometers,Finland,Men,1,gold,Veli Saarinen,29.0
100,1932,Cross-Country Skiing,Men's 50 Kilometers,Finland,Men,2,silver,VÃ¤inÃ¶ Liikkanen,28.0
101,1932,Cross-Country Skiing,Men's 50 Kilometers,Norway,Men,3,bronze,Arne Rustadstuen,26.0
102,1932,Figure Skating,Men's Singles,Austria,Men,1,gold,Karl SchÃ¤fer,22.0
103,1932,Figure Skating,Men's Singles,Sweden,Men,2,silver,Gillis GrafstrÃ¶m,38.0
104,1932,Figure Skating,Men's Singles,Canada,Men,3,bronze,Bud Wilson,22.0
105,1932,Figure Skating,Mixed Pairs,France,Mixed,1,gold,France,
106,1932,Figure Skating,Mixed Pairs,United States,Mixed,2,silver,United States-1,
107,1932,Figure Skating,Mixed Pairs,Hungary,Mixed,3,bronze,Hungary-1,
108,1932,Figure Skating,Women's Singles,Norway,Women,1,gold,Sonja Henie,19.0
109,1932,Figure Skating,Women's Singles,Austria,Women,2,silver,Fritzi Burger,21.0
110,1932,Figure Skating,Women's Singles,United States,Women,3,bronze,Maribel Vinson,20.0
111,1932,Ice Hockey,Men's Ice Hockey,Canada,Men,1,gold,Canada,
112,1932,Ice Hockey,Men's Ice Hockey,United States,Men,2,silver,United States,
113,1932,Ice Hockey,Men's Ice Hockey,Germany,Men,3,bronze,Germany,
114,1932,Nordic Combined,Men's Individual,Norway,Men,1,gold,Johan GrÃ¸ttumsbraaten,32.0
115,1932,Nordic Combined,Men's Individual,Norway,Men,2,silver,Ole Stenen,28.0
116,1932,Nordic Combined,Men's Individual,Norway,Men,3,bronze,Hans Vinjarengen,26.0
117,1932,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,1,gold,Birger Ruud,20.0
118,1932,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,2,silver,Hans Beck,20.0
119,1932,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,3,bronze,KÃ¥re Walberg,19.0
120,1932,Speedskating,Men's 500 Meters,United States,Men,1,gold,Jack Shea,21.0
121,1932,Speedskating,Men's 500 Meters,Norway,Men,2,silver,Bernt Evensen,26.0
122,1932,Speedskating,Men's 500 Meters,Canada,Men,3,bronze,Alex Hurd,21.0
123,1932,Speedskating,"Men's 1,500 Meters",United States,Men,1,gold,Jack Shea,21.0
124,1932,Speedskating,"Men's 1,500 Meters",Canada,Men,2,silver,Alex Hurd,21.0
125,1932,Speedskating,"Men's 1,500 Meters",Canada,Men,3,bronze,Willy Logan,24.0
126,1932,Speedskating,"Men's 5,000 Meters",United States,Men,1,gold,Irving Jaffee,25.0
127,1932,Speedskating,"Men's 5,000 Meters",United States,Men,2,silver,Eddie Murphy,27.0
128,1932,Speedskating,"Men's 5,000 Meters",Canada,Men,3,bronze,Willy Logan,24.0
129,1932,Speedskating,"Men's 10,000 Meters",United States,Men,1,gold,Irving Jaffee,25.0
130,1932,Speedskating,"Men's 10,000 Meters",Norway,Men,2,silver,Ivar Ballangrud,27.0
131,1932,Speedskating,"Men's 10,000 Meters",Canada,Men,3,bronze,Frank Stack,26.0
132,1936,Alpine Skiing,Men's Combined,Germany,Men,1,gold,Franz PfnÃ¼r,27.0
133,1936,Alpine Skiing,Men's Combined,Germany,Men,2,silver,Gustav Lantschner,25.0
134,1936,Alpine Skiing,Men's Combined,France,Men,3,bronze,Ã‰mile Allais,23.0
135,1936,Alpine Skiing,Women's Combined,Germany,Women,1,gold,Christl Cranz,21.0
136,1936,Alpine Skiing,Women's Combined,Germany,Women,2,silver,KÃ¤the Grasegger,18.0
137,1936,Alpine Skiing,Women's Combined,Norway,Women,3,bronze,Laila Schou Nilsen,16.0
138,1936,Bobsled,Men's Two,United States,Men,1,gold,United States-1,
139,1936,Bobsled,Men's Two,Switzerland,Men,2,silver,Switzerland-2,
140,1936,Bobsled,Men's Two,United States,Men,3,bronze,United States-2,
141,1936,Bobsled,Men's Four,Switzerland,Men,1,gold,Switzerland-2,
142,1936,Bobsled,Men's Four,Switzerland,Men,2,silver,Switzerland-1,
143,1936,Bobsled,Men's Four,Britain,Men,3,bronze,Britain,
144,1936,Cross-Country Skiing,Men's 18 Kilometers,Sweden,Men,1,gold,Erik Larsson,23.0
145,1936,Cross-Country Skiing,Men's 18 Kilometers,Norway,Men,2,silver,OddbjÃ¸rn Hagen,28.0
146,1936,Cross-Country Skiing,Men's 18 Kilometers,Finland,Men,3,bronze,Pekka Niemi,26.0
147,1936,Cross-Country Skiing,Men's 50 Kilometers,Sweden,Men,1,gold,Elis Wiklund,26.0
148,1936,Cross-Country Skiing,Men's 50 Kilometers,Sweden,Men,2,silver,Axel WikstrÃ¶m,28.0
149,1936,Cross-Country Skiing,Men's 50 Kilometers,Sweden,Men,3,bronze,Nils Englund,28.0
150,1936,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Finland,Men,1,gold,Finland,
151,1936,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Norway,Men,2,silver,Norway,
152,1936,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Sweden,Men,3,bronze,Sweden,
153,1936,Figure Skating,Men's Singles,Austria,Men,1,gold,Karl SchÃ¤fer,26.0
154,1936,Figure Skating,Men's Singles,Germany,Men,2,silver,Ernst Baier,30.0
155,1936,Figure Skating,Men's Singles,Austria,Men,3,bronze,Felix Kaspar,21.0
156,1936,Figure Skating,Mixed Pairs,Germany,Mixed,1,gold,Germany-1,
157,1936,Figure Skating,Mixed Pairs,Austria,Mixed,2,silver,Austria-1,
158,1936,Figure Skating,Mixed Pairs,Hungary,Mixed,3,bronze,Hungary-1,
159,1936,Figure Skating,Women's Singles,Norway,Women,1,gold,Sonja Henie,23.0
160,1936,Figure Skating,Women's Singles,Britain,Women,2,silver,Cecilia Colledge,15.0
161,1936,Figure Skating,Women's Singles,Sweden,Women,3,bronze,Vivi-Anne HultÃ©n,24.0
162,1936,Ice Hockey,Men's Ice Hockey,Britain,Men,1,gold,Britain,
163,1936,Ice Hockey,Men's Ice Hockey,Canada,Men,2,silver,Canada,
164,1936,Ice Hockey,Men's Ice Hockey,United States,Men,3,bronze,United States,
165,1936,Nordic Combined,Men's Individual,Norway,Men,1,gold,OddbjÃ¸rn Hagen,28.0
166,1936,Nordic Combined,Men's Individual,Norway,Men,2,silver,Olaf Hoffsbakken,27.0
167,1936,Nordic Combined,Men's Individual,Norway,Men,3,bronze,Sverre Brodahl,27.0
168,1936,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,1,gold,Birger Ruud,24.0
169,1936,Ski Jumping,"Men's Normal Hill, Individual",Sweden,Men,2,silver,Sven Eriksson,28.0
170,1936,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,3,bronze,Reidar Andersen,24.0
171,1936,Speedskating,Men's 500 Meters,Norway,Men,1,gold,Ivar Ballangrud,31.0
172,1936,Speedskating,Men's 500 Meters,Norway,Men,2,silver,Georg Krog,20.0
173,1936,Speedskating,Men's 500 Meters,United States,Men,3,bronze,Leo Freisinger,19.0
174,1936,Speedskating,"Men's 1,500 Meters",Norway,Men,1,gold,Charles Mathiesen,24.0
175,1936,Speedskating,"Men's 1,500 Meters",Norway,Men,2,silver,Ivar Ballangrud,31.0
176,1936,Speedskating,"Men's 1,500 Meters",Finland,Men,3,bronze,Birger Wasenius,24.0
177,1936,Speedskating,"Men's 5,000 Meters",Norway,Men,1,gold,Ivar Ballangrud,31.0
178,1936,Speedskating,"Men's 5,000 Meters",Finland,Men,2,silver,Birger Wasenius,24.0
179,1936,Speedskating,"Men's 5,000 Meters",Finland,Men,3,bronze,Antero Ojala,19.0
180,1936,Speedskating,"Men's 10,000 Meters",Norway,Men,1,gold,Ivar Ballangrud,31.0
181,1936,Speedskating,"Men's 10,000 Meters",Finland,Men,2,silver,Birger Wasenius,24.0
182,1936,Speedskating,"Men's 10,000 Meters",Austria,Men,3,bronze,Max Stiepl,21.0
183,1948,Alpine Skiing,Men's Downhill,France,Men,1,gold,Henri Oreiller,22.0
184,1948,Alpine Skiing,Men's Downhill,Austria,Men,2,silver,Franz Gabl,26.0
185,1948,Alpine Skiing,Men's Downhill,Switzerland,Men,3,bronze,Karl Molitor,27.0
186,1948,Alpine Skiing,Men's Downhill,Switzerland,Men,3,bronze,Ralph Olinger,23.0
187,1948,Alpine Skiing,Men's Slalom,Switzerland,Men,1,gold,Edy Reinalter,27.0
188,1948,Alpine Skiing,Men's Slalom,France,Men,2,silver,James Couttet,26.0
189,1948,Alpine Skiing,Men's Slalom,France,Men,3,bronze,Henri Oreiller,22.0
190,1948,Alpine Skiing,Men's Combined,France,Men,1,gold,Henri Oreiller,22.0
191,1948,Alpine Skiing,Men's Combined,Switzerland,Men,2,silver,Karl Molitor,27.0
192,1948,Alpine Skiing,Men's Combined,France,Men,3,bronze,James Couttet,26.0
193,1948,Alpine Skiing,Women's Downhill,Switzerland,Women,1,gold,Hedy Schlunegger,24.0
194,1948,Alpine Skiing,Women's Downhill,Austria,Women,2,silver,Trude Jochum-Beiser,20.0
195,1948,Alpine Skiing,Women's Downhill,Austria,Women,3,bronze,Resi Hammerer,22.0
196,1948,Alpine Skiing,Women's Slalom,United States,Women,1,gold,Gretchen Fraser,28.0
197,1948,Alpine Skiing,Women's Slalom,Switzerland,Women,2,silver,Antoinette Meyer,27.0
198,1948,Alpine Skiing,Women's Slalom,Austria,Women,3,bronze,Erika Mahringer,23.0
199,1948,Alpine Skiing,Women's Combined,Austria,Women,1,gold,Trude Jochum-Beiser,20.0
200,1948,Alpine Skiing,Women's Combined,United States,Women,2,silver,Gretchen Fraser,28.0
201,1948,Alpine Skiing,Women's Combined,Austria,Women,3,bronze,Erika Mahringer,23.0
202,1948,Bobsled,Men's Two,Switzerland,Men,1,gold,Switzerland-2,
203,1948,Bobsled,Men's Two,Switzerland,Men,2,silver,Switzerland-1,
204,1948,Bobsled,Men's Two,United States,Men,3,bronze,United States-2,
205,1948,Bobsled,Men's Four,United States,Men,1,gold,United States-2,
206,1948,Bobsled,Men's Four,Belgium,Men,2,silver,Belgium,
207,1948,Bobsled,Men's Four,United States,Men,3,bronze,United States-1,
208,1948,Cross-Country Skiing,Men's 18 Kilometers,Sweden,Men,1,gold,Martin LundstrÃ¶m,29.0
209,1948,Cross-Country Skiing,Men's 18 Kilometers,Sweden,Men,2,silver,Nils Ã–stensson,29.0
210,1948,Cross-Country Skiing,Men's 18 Kilometers,Sweden,Men,3,bronze,Gunnar Eriksson,27.0
211,1948,Cross-Country Skiing,Men's 50 Kilometers,Sweden,Men,1,gold,Nils Karlsson,30.0
212,1948,Cross-Country Skiing,Men's 50 Kilometers,Sweden,Men,2,silver,Harald Ericson,26.0
213,1948,Cross-Country Skiing,Men's 50 Kilometers,Finland,Men,3,bronze,Benjam Vanninen,26.0
214,1948,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Sweden,Men,1,gold,Sweden,
215,1948,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Finland,Men,2,silver,Finland,
216,1948,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Norway,Men,3,bronze,Norway,
217,1948,Figure Skating,Men's Singles,United States,Men,1,gold,Dick Button,18.0
218,1948,Figure Skating,Men's Singles,Switzerland,Men,2,silver,Hans Gerschwiler,27.0
219,1948,Figure Skating,Men's Singles,Austria,Men,3,bronze,Edi Rada,25.0
220,1948,Figure Skating,Mixed Pairs,Belgium,Mixed,1,gold,Belgium,
221,1948,Figure Skating,Mixed Pairs,Hungary,Mixed,2,silver,Hungary-1,
222,1948,Figure Skating,Mixed Pairs,Canada,Mixed,3,bronze,Canada,
223,1948,Figure Skating,Women's Singles,Canada,Women,1,gold,Barbara Ann Scott,19.0
224,1948,Figure Skating,Women's Singles,Austria,Women,2,silver,Eva Pawlik,20.0
225,1948,Figure Skating,Women's Singles,Britain,Women,3,bronze,Jeannette Altwegg,17.0
226,1948,Ice Hockey,Men's Ice Hockey,Canada,Men,1,gold,Canada,
227,1948,Ice Hockey,Men's Ice Hockey,Czechoslovakia,Men,2,silver,Czechoslovakia,
228,1948,Ice Hockey,Men's Ice Hockey,Switzerland,Men,3,bronze,Switzerland,
229,1948,Nordic Combined,Men's Individual,Finland,Men,1,gold,Heikki Hasu,21.0
230,1948,Nordic Combined,Men's Individual,Finland,Men,2,silver,Martti Huhtala,29.0
231,1948,Nordic Combined,Men's Individual,Sweden,Men,3,bronze,Sven Israelsson,28.0
232,1948,Skeleton,Men's Skeleton,Italy,Men,1,gold,Nino Bibbia,25.0
233,1948,Skeleton,Men's Skeleton,United States,Men,2,silver,Jack Heaton,39.0
234,1948,Skeleton,Men's Skeleton,Britain,Men,3,bronze,John Crammond,41.0
235,1948,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,1,gold,Petter Hugsted,26.0
236,1948,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,2,silver,Birger Ruud,36.0
237,1948,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,3,bronze,Thorleif Schjelderup,28.0
238,1948,Speedskating,Men's 500 Meters,Norway,Men,1,gold,Finn Helgesen,28.0
239,1948,Speedskating,Men's 500 Meters,United States,Men,2,silver,Ken Bartholomew,27.0
240,1948,Speedskating,Men's 500 Meters,Norway,Men,2,silver,Thomas Byberg,31.0
241,1948,Speedskating,Men's 500 Meters,United States,Men,2,silver,Bobby Fitzgerald,24.0
242,1948,Speedskating,"Men's 1,500 Meters",Norway,Men,1,gold,Sverre Farstad,27.0
243,1948,Speedskating,"Men's 1,500 Meters",Sweden,Men,2,silver,Ã…ke Seyffarth,28.0
244,1948,Speedskating,"Men's 1,500 Meters",Norway,Men,3,bronze,Odd Lundberg,30.0
245,1948,Speedskating,"Men's 5,000 Meters",Norway,Men,1,gold,Reidar Liaklev,30.0
246,1948,Speedskating,"Men's 5,000 Meters",Norway,Men,2,silver,Odd Lundberg,30.0
247,1948,Speedskating,"Men's 5,000 Meters",Sweden,Men,3,bronze,GÃ¶the Hedlund,29.0
248,1948,Speedskating,"Men's 10,000 Meters",Sweden,Men,1,gold,Ã…ke Seyffarth,28.0
249,1948,Speedskating,"Men's 10,000 Meters",Finland,Men,2,silver,Lassi Parkkinen,30.0
250,1948,Speedskating,"Men's 10,000 Meters",Finland,Men,3,bronze,Pentti Lammio,28.0
251,1952,Alpine Skiing,Men's Downhill,Italy,Men,1,gold,Zeno ColÃ²,31.0
252,1952,Alpine Skiing,Men's Downhill,Austria,Men,2,silver,Othmar Schneider,23.0
253,1952,Alpine Skiing,Men's Downhill,Austria,Men,3,bronze,Christian Pravda,24.0
254,1952,Alpine Skiing,Men's Giant Slalom,Norway,Men,1,gold,Stein Eriksen,24.0
255,1952,Alpine Skiing,Men's Giant Slalom,Austria,Men,2,silver,Christian Pravda,24.0
256,1952,Alpine Skiing,Men's Giant Slalom,Austria,Men,3,bronze,Toni SpiÃŸ,21.0
257,1952,Alpine Skiing,Men's Slalom,Austria,Men,1,gold,Othmar Schneider,23.0
258,1952,Alpine Skiing,Men's Slalom,Norway,Men,2,silver,Stein Eriksen,24.0
259,1952,Alpine Skiing,Men's Slalom,Norway,Men,3,bronze,Guttorm Berge,22.0
260,1952,Alpine Skiing,Women's Downhill,Austria,Women,1,gold,Trude Jochum-Beiser,24.0
261,1952,Alpine Skiing,Women's Downhill,Germany,Women,2,silver,Mirl Buchner,27.0
262,1952,Alpine Skiing,Women's Downhill,Italy,Women,3,bronze,Giuliana Chenal-Minuzzo,20.0
263,1952,Alpine Skiing,Women's Giant Slalom,United States,Women,1,gold,Andrea Mead-Lawrence,19.0
264,1952,Alpine Skiing,Women's Giant Slalom,Austria,Women,2,silver,Dagmar Rom,23.0
265,1952,Alpine Skiing,Women's Giant Slalom,Germany,Women,3,bronze,Mirl Buchner,27.0
266,1952,Alpine Skiing,Women's Slalom,United States,Women,1,gold,Andrea Mead-Lawrence,19.0
267,1952,Alpine Skiing,Women's Slalom,Germany,Women,2,silver,Ossi Reichert,26.0
268,1952,Alpine Skiing,Women's Slalom,Germany,Women,3,bronze,Mirl Buchner,27.0
269,1952,Bobsled,Men's Two,Germany,Men,1,gold,Germany-1,
270,1952,Bobsled,Men's Two,United States,Men,2,silver,United States-1,
271,1952,Bobsled,Men's Two,Switzerland,Men,3,bronze,Switzerland-1,
272,1952,Bobsled,Men's Four,Germany,Men,1,gold,Germany,
273,1952,Bobsled,Men's Four,United States,Men,2,silver,United States-1,
274,1952,Bobsled,Men's Four,Switzerland,Men,3,bronze,Switzerland-1,
275,1952,Cross-Country Skiing,Men's 18 Kilometers,Norway,Men,1,gold,Hallgeir Brenden,23.0
276,1952,Cross-Country Skiing,Men's 18 Kilometers,Finland,Men,2,silver,Tapio MÃ¤kelÃ¤,25.0
277,1952,Cross-Country Skiing,Men's 18 Kilometers,Finland,Men,3,bronze,Paavo Lonkila,29.0
278,1952,Cross-Country Skiing,Men's 50 Kilometers,Finland,Men,1,gold,Veikko Hakulinen,27.0
279,1952,Cross-Country Skiing,Men's 50 Kilometers,Finland,Men,2,silver,Eero Kolehmainen,33.0
280,1952,Cross-Country Skiing,Men's 50 Kilometers,Norway,Men,3,bronze,Magnar Estenstad,27.0
281,1952,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Finland,Men,1,gold,Finland,
282,1952,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Norway,Men,2,silver,Norway,
283,1952,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Sweden,Men,3,bronze,Sweden,
284,1952,Cross-Country Skiing,Women's 10 Kilometers,Finland,Women,1,gold,Lydia Wideman,31.0
285,1952,Cross-Country Skiing,Women's 10 Kilometers,Finland,Women,2,silver,Mirja Hietamies,21.0
286,1952,Cross-Country Skiing,Women's 10 Kilometers,Finland,Women,3,bronze,Siiri Rantanen,27.0
287,1952,Figure Skating,Men's Singles,United States,Men,1,gold,Dick Button,22.0
288,1952,Figure Skating,Men's Singles,Austria,Men,2,silver,Helmut Seibt,22.0
289,1952,Figure Skating,Men's Singles,United States,Men,3,bronze,Jim Grogan,20.0
290,1952,Figure Skating,Mixed Pairs,Germany,Mixed,1,gold,Germany-1,
291,1952,Figure Skating,Mixed Pairs,United States,Mixed,2,silver,United States-1,
